incident_date,county_name,crime_type,incident_count,cleared_count,population,crime_rate_per_100k,clearance_rate
2022-01-01,Kankakee,Property Crime,1183,257,107502,1100.4446428903648,0.2172442941673711
2022-02-01,Kendall,Rape,164,59,131869,124.3658479248345,0.3597560975609756
2022-02-01,DuPage,Larceny-Theft,6702,2268,932877,718.4226859489514,0.3384064458370636
2022-02-01,Sangamon,Rape,178,40,196778,90.45726656435171,0.2247191011235955
2022-03-01,Champaign,Larceny-Theft,2361,658,205865,1146.8680931678527,0.27869546802202455
2022-03-01,Madison,Aggravated Assault,1838,702,265859,691.3439078609338,0.381936887921654
2022-03-01,Rock Island,Larceny-Theft,1081,279,144277,749.253172716372,0.25809435707678074
2022-04-01,McHenry,Motor Vehicle Theft,1531,487,307774,497.4429289023764,0.31809274983670804
2022-05-01,Rock Island,Property Crime,1748,645,144277,1211.5583218392396,0.36899313501144165
2022-05-01,Kane,Robbery,867,184,516522,167.85345057906537,0.2122260668973472
2022-07-01,Sangamon,Violent Crime,1356,293,196778,689.101423939668,0.21607669616519173
2022-08-01,Peoria,Robbery,402,64,179179,224.3566489376545,0.15920398009950248
2022-10-01,Sangamon,Larceny-Theft,1900,527,196778,965.5550925408329,0.2773684210526316
2022-10-01,Kankakee,Aggravated Assault,417,81,107502,387.899760004465,0.19424460431654678
2022-11-01,Macon,Larceny-Theft,1138,236,104286,1091.2298870414054,0.20738137082601055
2022-11-01,Kankakee,Larceny-Theft,843,164,107502,784.1714572752136,0.19454329774614473
2022-12-01,LaSalle,Property Crime,1903,367,109658,1735.3955023801275,0.1928533893851813
2022-12-01,Winnebago,Aggravated Assault,1733,306,285350,607.3243385316277,0.1765724177726486
2023-02-01,DeKalb,Motor Vehicle Theft,342,60,100420,340.5696076478789,0.17543859649122806
2023-03-01,Kendall,Violent Crime,1025,281,131869,777.2865495302156,0.27414634146341466
2023-05-01,Sangamon,Violent Crime,1371,380,196778,696.7242273018326,0.27716994894237784
2023-05-01,McLean,Rape,271,71,170954,158.5221755559975,0.26199261992619927
2023-05-01,Cook,Property Crime,102103,40102,5173363,1973.6291460699742,0.39276025190249064
2023-05-01,Macon,Aggravated Assault,707,155,104286,677.9433481004162,0.21923620933521923
2023-06-01,Will,Burglary,3947,1319,696355,566.8085961901617,0.3341778565999493
2023-06-01,Kane,Property Crime,6357,2070,516522,1230.7317016506559,0.32562529495044834
2023-06-01,Champaign,Property Crime,3780,1438,205865,1836.154761615622,0.38042328042328044
2023-07-01,Kendall,Larceny-Theft,1938,511,131869,1469.6403248678612,0.26367389060887514
2023-08-01,Cook,Burglary,27851,4814,5173363,538.3538715531851,0.1728483716922193
2023-08-01,Madison,Motor Vehicle Theft,1203,253,265859,452.4954957327004,0.21030756442227763
2023-08-01,Macon,Burglary,530,192,104286,508.21778570469667,0.3622641509433962
2023-09-01,Will,Property Crime,12192,2113,696355,1750.831113440702,0.17331036745406825
2023-09-01,Lake,Robbery,1542,567,714342,215.8629899963883,0.36770428015564205
2023-10-01,Macon,Violent Crime,685,137,104286,656.847515486259,0.2
2023-10-01,Macon,Rape,112,41,104286,107.39696603570948,0.36607142857142855
2023-12-01,Sangamon,Burglary,677,212,196778,344.04252507902305,0.31314623338257014
2024-01-01,LaSalle,Property Crime,1984,361,109658,1809.2615221871638,0.1819556451612903
2024-01-01,Kankakee,Violent Crime,505,123,107502,469.75870216368065,0.24356435643564356
2024-02-01,DeKalb,Aggravated Assault,544,116,100420,541.7247560246963,0.21323529411764705
2024-02-01,Peoria,Larceny-Theft,1862,599,179179,1039.1842794077431,0.3216970998925886
2024-02-01,LaSalle,Aggravated Assault,752,251,109658,685.7684801838443,0.3337765957446808
2024-02-01,Macon,Violent Crime,684,115,104286,655.8886140037972,0.16812865497076024
2024-02-01,St. Clair,Property Crime,4114,865,257400,1598.2905982905984,0.21025765678172095
2024-05-01,Tazewell,Larceny-Theft,1881,421,131343,1432.1280920947445,0.22381711855396066
2024-05-01,Kendall,Burglary,787,144,131869,596.8044043710046,0.18297331639135958
2024-05-01,Macon,Motor Vehicle Theft,433,144,104286,415.2043419059126,0.3325635103926097
2024-06-01,Rock Island,Robbery,267,104,144277,185.06068188276717,0.3895131086142322
2024-06-01,DuPage,Motor Vehicle Theft,2551,448,932877,273.4551285968032,0.17561740493923952
2024-06-01,Macon,Larceny-Theft,1367,418,104286,1310.8183265251328,0.3057790782735918
2024-07-01,Sangamon,Larceny-Theft,2182,517,196778,1108.8637957495248,0.2369385884509624
2024-08-01,DuPage,Property Crime,11001,1792,932877,1179.2551429609691,0.16289428233796927
2024-08-01,Macon,Motor Vehicle Theft,392,146,104286,375.88938112498323,0.37244897959183676
2024-08-01,McHenry,Rape,492,98,307774,159.85755781839921,0.1991869918699187
2024-08-01,Winnebago,Violent Crime,2603,619,285350,912.2130716663746,0.2378025355359201
2024-10-01,Peoria,Property Crime,2649,419,179179,1478.4098582981264,0.15817289543223859
2024-12-01,McHenry,Motor Vehicle Theft,1138,448,307774,369.751830888899,0.3936731107205624
2024-12-01,Kankakee,Property Crime,1149,183,107502,1068.8173243288497,0.15926892950391644
2024-12-01,DeKalb,Aggravated Assault,497,186,100420,494.92133041226845,0.37424547283702214
2024-12-01,Macon,Property Crime,1457,538,104286,1397.119459946685,0.3692518874399451
